CASE_T,DISTRICT,CASE_F,BUILD_NAME,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,TRANS_TARGET,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE,RENT_TYPE,RENT_PERIOD,MANAGE,RENT_SERVICE
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,18.26,,1150506,土地:21建物:1車位:3,D棟D3-12F號,十二層,027,廠辦,商業用,見其他登記事項,,191.13,,,,無,,,12580,70,否,坡道平面3,22.56,780,,92.01,6.2,92.92,,,,,
買賣,文山區,房地(土地+建物),,辛亥路四段77巷56號四樓,15.16,,1150323,土地:1建物:1車位:,,四層,,華廈(10層含以下有電梯),住家用,,,24.86,2,2,1,有,,,1840,74.01,否,,0,0,有,,,,建築物含有：陽臺外推。,,,,
租賃,萬華區,房屋,,中華路二段416巷3號十樓之2,0,,1150501,土地:建物:1車位:房間個數:0,,十層,012,住宅大樓(11層含以上有電梯),共有部分,,,30.46,3,2,2,有,有,冷氣3台、熱水器、洗衣機、電視機、瓦斯或天然氣,4,1149.05,否,,0,0,,,,,承租人：多人共同承租，共2人。,整棟(戶)出租,115/05/20至118/05/19,有,無
買賣,士林區,土地,,光華段二小段0905-0000地號,46.89,,1150518,土地:1建物:0車位:,,,,,,,,0,,,,無,,,1121,23.91,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,15.84,,1150506,土地:21建物:1車位:3,D棟D1-12F號,十二層,027,廠辦,商業用,見其他登記事項,,168.81,,,,無,,,11194,71.21,否,坡道平面3,22.56,780,,82.19,3.03,83.59,,,,,
買賣,內湖區,土地,,潭美段一小段0434-0000地號,0.27,,1150515,土地:1建物:0車位:,,,,,,,,0,,,,無,,,13,48.15,-,,0,0,無,,,,土地上有：未登記建物。,,,,
租賃,中山區,房屋,,吉林路369號二樓之6,0,,1150504,土地:建物:車位:房間個數:1,,二層,007,華廈(10層含以下有電梯),住家用,,,6.18,4,0,4,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,2,2427.18,否,,0,0,,,,,其他：續租案件。,分租套房,115/06/04至115/07/31,無,一般轉租
買賣,北投區,土地,,開明段二小段0633-0000地號,1.22,,1150518,土地:4建物:0車位:,,,,,,,,0,,,,無,,,28,22.95,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
預售屋,大安區,房地(土地+建物)+車位,富藝居,臺北市大安區信義路四段30巷23號,3.28,,1150502,土地:22建物:1車位:1,0棟A2-5F號,五層,021,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,31.24,1,2,1,有,,,4039,184.03,否,坡道平面1,11.52,410,,10.99,1.25,19,,,,,
租賃,松山區,房屋,,八德路四段765號三樓之8,0,,1150501,土地:建物:車位:房間個數:1,,三層,014,住宅大樓(11層含以上有電梯),商業用,,,9.71,4,1,4,有,有,冷氣2台、洗衣機、電視機、冰箱、網路、傢俱,2,1699.28,否,,0,0,,,,,套房H室,分租套房,115/05/01至116/04/30,有,一般代管
租賃,中山區,房屋,,天祥路16巷15號二樓之6,0,,1150507,土地:建物:1車位:房間個數:,,二層,007,華廈(10層含以下有電梯),住家用,,,12.57,1,1,1,有,有,冷氣2台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,2,1272.87,否,,0,0,,,,,管理費：1000元，租金不含管理費，由承租人負擔。,獨立套房,115/05/15至116/02/14,有,社會住宅包租轉租
租賃,中山區,房屋,,民生東路二段115巷24號四樓,0,,1150429,土地:建物:車位:房間個數:1,,四層,004,公寓(無電梯),住家用,,,7.89,3,1,1,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路、傢俱,1,1558.94,否,,0,0,,,,,租金：含下列其他衍生費用：網路費、其他-垃圾代收費。承租B房,分租雅房,115/05/01至116/04/30,無,一般轉租
買賣,大同區,房地(土地+建物),,承德路三段85巷1號四樓,8.92,,1131228,土地:1建物:1車位:,,四層,,公寓(5樓含以下無電梯),住家用,,,31.66,3,2,2,有,,,1900,60.01,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。,,,,
買賣,松山區,土地,,敦化段三小段0156-0012地號,0.02,,1150417,土地:1建物:0車位:,,,,,,,,0,,,,無,,,4,200,-,,0,0,無,,,,,,,,
租賃,中山區,房屋,,中原街22號五樓之17,0,,1150506,土地:建物:1車位:房間個數:,,五層,007,華廈(10層含以下有電梯),住家用,,,6.79,1,1,1,有,有,冷氣1台、熱水器、洗衣機、傢俱,1,2091.31,否,,0,0,,,,,,獨立套房,115/05/10至116/05/09,有,社會住宅包租轉租
買賣,大同區,房地(土地+建物),,民權西路129號十五樓之2,2.69,,1111001,土地:2建物:1車位:,,十五層,,大樓(11層含以上有電梯),見其他登記事項,,,24.45,2,2,2,有,,,2465,100.82,否,,0,0,有,,,,預售屋、或土地及建物分件登記案件。,,,,
租賃,內湖區,房屋,,新明路273巷6號五樓,0,,1150506,土地:建物:車位:房間個數:1,,五層,005,華廈(10層含以下有電梯),工業用,,,6.96,18,1,18,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、網路、傢俱,2,2859.2,否,,0,0,,,,,租金：含下列其他衍生費用：水費、瓦斯費。飯店式管理，提供24小時現場櫃檯服務、專人客房及垃圾清潔、專人設備修繕、免費零食mini bar，並可接受30日以上之短租(最低租期非一年),分租套房,115/05/06至115/06/05,無,一般轉租
租賃,文山區,房屋,,景豐街81號,0,,1150501,土地:建物:車位:房間個數:1,,五層,005,透天厝,見其他登記事項,,,3.93,80,7,10,有,有,冷氣1台、冰箱、網路、傢俱,1,0,-,,0,0,,,,,租金：含下列其他衍生費用：其他-租賃面積不包含共用公共空間（衛浴、廚房、大廳以及客廳），且扣除公共空間使用費三千元。。,分租雅房,115/05/01至115/05/31,有,一般轉租
租賃,文山區,房屋,,萬安街30巷2號四樓之1,0,,1150505,土地:建物:1車位:房間個數:,,四層,012,住宅大樓(11層含以上有電梯),見其他登記事項,,,29.27,3,2,1,有,有,熱水器、瓦斯或天然氣、傢俱,2,512.47,否,,0,0,,,,,,整棟(戶)出租,115/05/15至116/05/14,有,社會住宅包租轉租
租賃,大安區,房屋,,臨江街93號三樓之1,0,,1150501,土地:建物:車位:房間個數:1,,三層,008,華廈(10層含以下有電梯),商業用,,,4.61,6,0,4,有,有,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,2386.12,否,,0,0,,,,,租金：含下列其他衍生費用：水費、網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。其他：續租案件。,分租雅房,115/05/05至116/05/04,有,一般代管
買賣,文山區,房地(土地+建物),,興隆路二段301巷6之6號四樓,9.96,,1150329,土地:1建物:1車位:,,四層,,華廈(10層含以下有電梯),住家用,,,37.54,3,2,2,有,,,2080,55.41,否,,0,0,有,,,,建築物含有：陽臺外推。,,,,
租賃,大同區,房屋,,重慶北路三段137巷12號三樓,0,,1150507,土地:0建物:車位:房間個數:1,,三層,004,公寓(無電梯),住家用,,,3.55,5,1,2,有,有,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,3521.13,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費、其他-清潔費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/15至116/05/14,有,一般轉租
買賣,北投區,房地(土地+建物)+車位,,文林北路125號十三樓,9.43,,1130502,土地:2建物:1車位:1,,十三層,,大樓(11層含以上有電梯),見其他登記事項,,,56.9,2,2,2,有,,,6010,118.48,否,坡道平面1,8.79,310,有,,,,預售屋、或土地及建物分件登記案件。,,,,
買賣,文山區,房地(土地+建物)+車位,,景後街188號十二樓之2,1.72,,1100421,土地:1建物:1車位:1,,十二層,,大樓(11層含以上有電梯),見其他登記事項,,,26.37,2,1,1,有,,,1590,60.3,是,坡道機械1,0,180,有,,,,預售屋、或土地及建物分件登記案件。,,,,
租賃,大同區,房屋,,民權西路153號十二樓之11,0,,1150507,土地:建物:1車位:房間個數:,,十二層,015,住宅大樓(11層含以上有電梯),見其他登記事項,,,24.08,2,2,1,有,有,冷氣3台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,7,2906.98,否,,0,0,,,,,,整棟(戶)出租,115/05/07至117/05/31,有,無
租賃,士林區,房屋,,中山北路七段114巷72弄7之1號,107.34,,1150506,土地:1建物:1車位:房間個數:,,見其他登記事項,001,透天厝,住家用,,,48.34,5,3,5,有,無,冷氣7台、熱水器、洗衣機,16,0,-,,0,0,,,,,,整棟(戶)出租,115/06/01至118/05/31,無,無
預售屋,北投區,房地(土地+建物)+車位,士科大院.,臺北市北投區洲美里福善路,4.92,,1150501,土地:4建物:1車位:1,B棟2號,二十一層,022,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,34.98,2,2,2,有,,,3294,113.05,否,坡道平面1,8.32,280,,15.43,1.95,17.6,,,,,
租賃,內湖區,房屋,,安康路183號四樓,0,,1150507,土地:建物:1車位:房間個數:,,四層,005,公寓(無電梯),住家用,,,30.81,4,1,1,有,無,冷氣5台、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、傢俱,3,843.88,否,,0,0,,,,,其他：續租案件。,整棟(戶)出租,115/05/25至117/05/24,無,社會住宅包租轉租
租賃,中正區,房屋,,南昌路二段42巷12號三樓,0,,1150502,土地:建物:車位:房間個數:1,,三層,004,公寓(無電梯),住家用,,,4.4,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,2,4431.82,否,,0,0,,,,,租金：含下列其他衍生費用：網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/05至116/05/04,無,無
買賣,內湖區,房地(土地+建物),,內湖路三段143巷24號三樓,4.98,,1150406,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,19.7,2,2,1,有,,,1300,65.99,否,,0,0,無,,,,建築物含有：其他增建。,,,,
租賃,中正區,房屋,,和平西路二段133號三樓,0,,1150501,土地:建物:2車位:房間個數:,,見其他登記事項,004,公寓(無電梯),住家用,,,69.82,12,1,11,有,無,冷氣11台、熱水器、電視機、冰箱、傢俱,12,1740.1,否,,0,0,,,,,租賃標的：含有多個門牌且未個別計算租金-台北市中正區和平西路二段133號四樓。,整棟(戶)出租,115/05/01至119/01/31,無,一般轉租
租賃,中山區,房屋,,民權東路二段71巷40號,0,,1150504,土地:建物:1車位:房間個數:0,,一層,005,店面(店鋪),商業用,,,43.05,0,2,1,有,無,無,8,1742.16,否,,0,0,,,,,租金：含稅、含下列其他衍生費用：其他-二代健保補充保費。租賃標的：含增建或未登記建物、租賃期間有約定不同租金-118年05月05日至121年05月04日，每月柒萬捌仟柒佰伍拾元。。租賃期間含免租金裝潢期115年05月05日至115年06月20日。,,115/05/05至121/05/04,無,
租賃,信義區,房屋,,莊敬路289巷14號七樓,0,,1150501,土地:建物:車位:房間個數:1,,七層,007,華廈(10層含以下有電梯),住家用,,,3.63,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,3966.94,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/05至116/05/04,無,一般轉租
買賣,北投區,土地,,立農段五小段0139-0000地號,0,,1150522,土地:1建物:0車位:,,,,,,,,0,,,,無,,,0,0,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,
租賃,內湖區,房屋,,內湖路二段235巷16號四樓之1,0,,1150504,土地:建物:1車位:房間個數:,,四層,005,華廈(10層含以下有電梯),見其他登記事項,,,37.46,3,2,2,有,有,無,7,1935.64,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、水費、瓦斯費、網路費。此租金已扣除稅8250元、健保1741元,整棟(戶)出租,115/05/15至117/05/14,有,無
買賣,大同區,房地(土地+建物)+車位,,哈密街59巷31弄15號十一樓之1,4.69,,1150207,土地:1建物:1車位:1,,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,屋頂突出物,地下一層,地下二層",,大樓(11層含以上有電梯),見其他登記事項,,,33.07,2,1,1,有,,,2420,73.18,是,坡道平面1,0,260,有,,,,,,,,
買賣,北投區,房地(土地+建物)+車位,,文林北路123號二樓,11.2,,1130522,土地:2建物:1車位:1,,二層,,大樓(11層含以上有電梯),見其他登記事項,,,65.83,3,2,3,有,,,6920,116.23,否,坡道平面1,8.79,290,有,,,,預售屋、或土地及建物分件登記案件。,,,,
買賣,文山區,房地(土地+建物),,指南路三段57號二樓之7,3.08,,1150426,土地:1建物:1車位:,,二層,,華廈(10層含以下有電梯),見其他登記事項,,,13.13,1,1,1,有,,,1100,83.78,否,,0,0,有,,,,建築物含有：其他增建。,,,,
買賣,士林區,土地,,芝山段一小段0571-0000地號,4.36,,1150520,土地:1建物:0車位:,,,,,,,,0,,,,無,,,575,131.88,-,,0,0,無,,,,"現況為空地收費停車格實際使用權及處分權均移轉點交
每坪單價132萬元整",,,,
買賣,內湖區,土地,,石潭段三小段0615-0000地號,5.83,,1150520,土地:4建物:0車位:,,,,,,,,0,,,,無,,,279,47.86,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,
租賃,松山區,房屋,,敦化北路100號,0,,1150505,土地:建物:車位:房間個數:1,,十四層,015,住宅大樓(11層含以上有電梯),商業用,,,9.3,300,10,300,有,無,冷氣1台、熱水器、電視機、冰箱、傢俱,2,2311.83,否,,0,0,,,,,租金：含下列其他衍生費用：電費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/05至116/05/20,無,一般轉租
租賃,松山區,房屋,,南京東路五段251巷50弄1號三樓,0,,1150501,土地:建物:1車位:房間個數:,,三層,004,公寓(無電梯),住家用,,,35.02,4,0,4,有,無,冷氣4台、熱水器、電視機、冰箱、傢俱,4,1017.39,否,,0,0,,,,,租賃標的：租賃期間有約定不同租金-115/5/1-119/5/31每月35629元、119/6/1-124/5/31每月36933元。,整棟(戶)出租,115/05/01至124/05/31,無,一般轉租
租賃,士林區,房屋+車位,,天母東路8號三樓,0,,1150430,土地:建物:1車位:4房間個數:,,三層,038,住宅大樓(11層含以上有電梯),住家用,,,228.86,5,3,5,有,有,冷氣10台、熱水器、冰箱、瓦斯或天然氣,55,2403.22,是,坡道平面4,39.53,0,,,,,,整棟(戶)出租,115/05/01至118/04/30,有,無
買賣,松山區,房地(土地+建物),,民生東路五段36巷4弄31號三樓,19.59,,1150322,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,36.16,3,2,2,有,,,3540,97.9,否,,0,0,無,,,,建築物含有：陽台外推、其他增建。,,,,
買賣,萬華區,房地(土地+建物)+車位,,長沙街二段76號八樓,5.51,,1150225,土地:2建物:1車位:1,,八層,,大樓(11層含以上有電梯),住家用,,,60.88,3,2,2,有,,,4550,72.72,否,塔式車位1,0.37,150,有,,,,,,,,
租賃,松山區,房屋,,敦化北路100號,0,,1150501,土地:建物:車位:房間個數:1,,八層,015,住宅大樓(11層含以上有電梯),商業用,,,9.22,300,10,300,有,無,冷氣1台、熱水器、電視機、冰箱、傢俱,3,2749.46,否,,0,0,,,,,租金：含下列其他衍生費用：電費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/01至115/05/31,無,一般轉租
租賃,中山區,房屋,,合江街20巷35號二樓,0,,1150505,土地:建物:車位:房間個數:1,,二層,005,公寓(無電梯),住家用,,,5,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,2700,否,,0,0,,,,,租金：含下列其他衍生費用：網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/06/01至116/05/31,無,一般轉租
買賣,大安區,房地(土地+建物)+車位,,復興南路二段301號十一樓,5.29,,1150523,土地:3建物:1車位:2,,十一層,,大樓(11層含以上有電梯),見其他登記事項,,,68.5,3,2,2,有,,,8428,173.33,否,坡道平面2,24.78,850,有,,,,,,,,
買賣,松山區,房地(土地+建物),,八德路四段567號,1.37,,1150308,土地:1建物:1車位:,,"一層,二層,騎樓",,透天厝,住家用,,,3.6,,,,無,,,488,0,-,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
買賣,北投區,房地(土地+建物)+車位,,文林北路127號十六樓,9.43,,1121114,土地:2建物:1車位:1,,十六層,,大樓(11層含以上有電梯),見其他登記事項,,,56.9,3,2,2,有,,,6358,125.5,否,坡道平面1,8.79,320,有,,,,預售屋、或土地及建物分件登記案件。,,,,
買賣,大同區,房地(土地+建物),,南京西路344巷35號九樓之5,0.84,,1150420,土地:1建物:1車位:,,九層,,華廈(10層含以下有電梯),住家用,,,9.17,1,1,1,有,,,745,81.24,否,,0,0,有,,,,,,,,
租賃,松山區,房屋+車位,,光復北路85巷28號七樓之1,0,,1150504,土地:建物:1車位:1房間個數:0,,七層,011,辦公商業大樓,見其他登記事項,,,59,,,,無,有,無,10,1694.92,是,坡道平面1,9.21,0,,,,,租金：含稅。,,115/05/05至117/07/04,有,
預售屋,北投區,房地(土地+建物)+車位,樺輝詠鑄,臺北市北投區洲美里洲美街,8.23,,1150501,土地:2建物:1車位:1,0棟A3號,十四層,028,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,54.77,3,2,2,有,,,6638,141.75,否,坡道平面1,10.41,350,,25.39,3.02,26.36,毛胚屋。,,,,
買賣,大安區,房地(土地+建物)+車位,,和平東路三段106號九樓之9,1.62,,1140815,土地:2建物:1車位:1,,"一層,騎樓,地下一層,地下二層,地下三層",,大樓(11層含以上有電梯),見其他登記事項,,,19.38,1,1,1,有,,,1350,99.14,否,坡道平面1,7.78,200,有,,,,,,,,
買賣,大安區,房地(土地+建物),,安和路一段11號八樓之1,2.7,,1150318,土地:1建物:1車位:,,八層,,大樓(11層含以上有電梯),住家用,,,30,2,1,1,有,,,4100,136.67,否,,0,0,有,,,,建築物含有：陽台外推。,,,,
買賣,大安區,房地(土地+建物),,敦化南路一段270巷36號三樓,12.93,,1150414,土地:2建物:1車位:,,三層,,公寓(5樓含以下無電梯),,,,27.09,3,2,2,有,,,2700,99.67,否,,0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：陽台外推。,,,,
租賃,南港區,房屋,,研究院路二段182巷78弄10號四樓,0,,1150501,土地:建物:1車位:房間個數:0,,四層,005,公寓(無電梯),住家用,,,35.51,3,2,2,有,有,冷氣4台、熱水器、冰箱、傢俱,3,715.29,否,,0,0,,,,,租金已扣除管理費600元,整棟(戶)出租,115/05/07至116/05/06,有,無
租賃,松山區,房屋,,八德路四段204巷6弄17號四樓,0,,1150501,土地:建物:1車位:房間個數:,,四層,004,公寓(無電梯),住家用,,,38.8,5,0,5,有,無,冷氣5台、熱水器、電視機、冰箱、傢俱,4,1092.63,否,,0,0,,,,,租賃標的：租賃期間有約定不同租金-115/5/1-119/5/31每月42394元，119/6/1-124/5/31每月43945元。,整棟(戶)出租,115/05/01至124/05/31,無,一般轉租
預售屋,北投區,房地(土地+建物)+車位,華固創?園區,臺北市北投區八仙里北投路一段11號,14.38,,1150506,土地:21建物:1車位:3,D棟D5-15F號,十五層,027,廠辦,商業用,見其他登記事項,,155.35,,,,無,,,10295,71.2,否,坡道平面3,22.56,840,,74.35,3.03,77.97,,,,,
租賃,大安區,房屋+車位,,羅斯福路三段309號十七樓之1,0,,1150504,土地:建物:1車位:2房間個數:,,十七層,019,住宅大樓(11層含以上有電梯),住家用,,,89.09,4,2,2,有,無,冷氣6台、熱水器、瓦斯或天然氣,18,2020.43,是,坡道平面2,0,0,,,,,租金：含下列其他衍生費用：管理費。,整棟(戶)出租,115/06/01至116/05/31,無,無
租賃,大安區,房屋,,復興南路二段125巷20弄4之7號四樓,0,,1150506,土地:0建物:車位:房間個數:1,,四層,004,公寓(無電梯),住家用,,,4.5,4,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,2,4155.56,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費、其他-清潔費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/13至116/05/12,無,一般轉租
租賃,松山區,房屋,,敦化北路100號,0,,1150504,土地:建物:車位:房間個數:1,,十二層,015,住宅大樓(11層含以上有電梯),商業用,,,9.15,300,10,300,有,無,冷氣1台、熱水器、電視機、冰箱、傢俱,2,2131.15,否,,0,0,,,,,租金：含下列其他衍生費用：電費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租套房,115/05/04至116/05/20,無,一般轉租
買賣,士林區,土地,,芝山段一小段0404-0000地號,0.01,,1150520,土地:2建物:0車位:,,,,,,,,0,,,,無,,,0,0,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,
租賃,中山區,房屋,,農安街6號六樓之3,0,,1150501,土地:建物:1車位:房間個數:,,六層,014,住宅大樓(11層含以上有電梯),商業用,,,15.78,1,0,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,6,3612.17,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、水費、電費、網路費、其他-電費600度內/月。,整棟(戶)出租,115/05/01至116/02/28,有,一般轉租
租賃,中正區,房屋,,漢口街一段32號,0,,1150501,土地:建物:1車位:房間個數:,,見其他登記事項,006,透天厝,見其他登記事項,,,148.61,21,0,14,有,無,冷氣21台、熱水器、電視機、冰箱、傢俱,15,0,-,,0,0,,,,,,整棟(戶)出租,115/05/01至118/03/31,無,一般轉租
租賃,中正區,房屋,,和平西路一段159號三樓,0,,1150504,土地:建物:1車位:房間個數:,,三層,007,華廈(10層含以下有電梯),住家用,,,18.04,1,1,1,有,有,冷氣1台、熱水器、洗衣機、傢俱,2,1097.56,否,,0,0,,,,,,獨立套房,115/05/04至116/05/03,有,社會住宅包租轉租
買賣,松山區,土地,,寶清段四小段0283-0001地號,9.08,,1150518,土地:1建物:0車位:,,,,,,,,0,,,,無,,,190,20.93,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,,,,
租賃,中正區,房屋,,中華路二段311巷23號四樓,0,,1150505,土地:建物:1車位:房間個數:,,四層,005,公寓(無電梯),,,,7.75,1,1,1,有,無,冷氣1台、熱水器、洗衣機、冰箱、傢俱,2,1935.48,否,,0,0,,,,,,獨立套房,115/05/15至116/05/14,無,社會住宅包租轉租
買賣,士林區,土地,,永平段二小段0295-0000地號,18.38,,1150323,土地:1建物:0車位:,,,,,,,,0,,,,無,,,229,12.46,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,
租賃,萬華區,房屋,,西寧南路219號八樓,0,,1150504,土地:建物:車位:房間個數:1,,八層,010,華廈(10層含以下有電梯),住家用,,,8,10,0,8,有,有,冷氣1台、熱水器、洗衣機、冰箱、傢俱,2,2062.5,否,,0,0,,,,,,分租套房,115/05/08至116/05/07,有,一般轉租
租賃,內湖區,房屋+車位,,星雲街129號十樓之3,0,,1150504,土地:建物:1車位:1房間個數:,,十層,014,住宅大樓(11層含以上有電梯),住家用,,,34.88,2,2,1,有,有,無,5,1519.5,是,坡道平面1,7.9,0,,,,,,整棟(戶)出租,115/05/15至116/05/14,有,無
預售屋,北投區,房地(土地+建物),德安美麗綻,臺北市北投區承德路七段166巷,3.97,,1150505,土地:4建物:1車位:,0棟A3-05F號,五層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,20.89,2,2,1,有,,,2090,100.05,否,,0,0,,10.58,1.19,9.13,,,,,
預售屋,大同區,房地(土地+建物)+車位,世座友樂町,臺北市大同區延平北路二段38號,1.8,,1150411,土地:33建物:1車位:1,A棟A6-24F號,二十四層,026,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,33.09,2,1,2,有,,,3360,133.36,否,坡道平面1,10.22,310,,13.84,1.37,17.88,,,,,
租賃,萬華區,房屋,,西園路二段283號,0,,1150501,土地:建物:車位:房間個數:1,,三層,004,透天厝,工業用,,,6.62,17,4,17,有,無,冷氣1台、熱水器、洗衣機、電視機、冰箱、有線電視、網路、傢俱,2,0,-,,0,0,,,,,304室,分租套房,115/05/04至116/05/03,無,一般轉租
買賣,中山區,土地,,德惠段四小段0490-0004地號,0.33,,1150514,土地:1建物:0車位:,,,,,,,,0,,,,無,,,70,212.12,-,,0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。,,,,
預售屋,大同區,房地(土地+建物)+車位,城心曜曜,臺北市大同區雙連里承德路二段146號,8.47,,1150501,土地:33建物:1車位:3,B棟2號,二十四層,024,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,119.11,3,2,3,有,,,11100,118.62,否,坡道平面3,33.46,940,,52.93,7.18,58.99,,,,,
預售屋,文山區,房地(土地+建物)+車位,元利四季莊園,臺北市文山區木柵路一段,5.37,,1150506,土地:2建物:1車位:1,E棟32F-E02號,三十二層,034,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,40.59,3,2,2,有,,,4571,128.17,否,坡道平面1,7.5,330,,20.13,1.45,19.01,,,,,
租賃,中山區,房屋,,德惠街155號六樓,0,,1150501,土地:建物:車位:房間個數:1,,六層,007,華廈(10層含以下有電梯),住家用,,,2.81,5,1,2,有,無,冷氣1台、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路、傢俱,1,4448.4,否,,0,0,,,,,租金：含下列其他衍生費用：管理費、網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,分租雅房,115/05/08至116/05/07,無,一般轉租
買賣,大安區,房地(土地+建物)+車位,,建國南路二段65號五樓,18.13,,1150430,土地:2建物:1車位:3,,五層,,大樓(11層含以上有電梯),住家用,,,157.75,,,,無,,,30588,221.1,否,坡道平面3,26.64,1600,有,,,,,,,,
租賃,北投區,房屋,,行義路186巷55號二樓之1,0,,1150507,土地:建物:1車位:房間個數:,,二層,007,華廈(10層含以下有電梯),住家用,,,11.41,1,1,1,有,有,冷氣1台、熱水器、洗衣機、電視機、冰箱、傢俱,2,1665.21,否,,0,0,,,,,,獨立套房,115/05/10至116/05/09,有,社會住宅包租轉租
買賣,文山區,車位,,木柵路二段109巷100弄1號等房屋地下二層,2.84,,1150508,土地:3建物:1車位:1,,地下二層,,,見使用執照,,,5.2,,,,無,,,163,0,-,坡道平面1,5.2,163,有,,,,僅車位交易。,,,,
買賣,大安區,房地(土地+建物),,潮州街178號四樓,6.39,,1150302,土地:1建物:1車位:,,四層,,華廈(10層含以下有電梯),商業用,,,35.11,3,1,2,有,,,2350,66.93,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,,
